MAKE ABCDEFGHI
MAKE B
PUSH_FRONT ABCDEFGHI 0
PUSH_FRONT ABCDEFGHI 1
PUSH_FRONT ABCDEFGHI 2
PUSH_FRONT ABCDEFGHI 3
PUSH_FRONT ABCDEFGHI 4
PUSH_FRONT ABCDEFGHI 5
PUSH_FRONT ABCDEFGHI 6
PUSH_FRONT ABCDEFGHI 7
PUSH_FRONT ABCDEFGHI 8
PUSH_FRONT ABCDEFGHI 9
PUSH_FRONT ABCDEFGHI 10
PUSH_FRONT ABCDEFGHI 11
PUSH_FRONT ABCDEFGHI 12
PUSH_FRONT ABCDEFGHI 13
PUSH_FRONT ABCDEFGHI 14
PUSH_FRONT ABCDEFGHI 15
PUSH_FRONT ABCDEFGHI 16
PUSH_FRONT ABCDEFGHI 17
PUSH_FRONT ABCDEFGHI 18
PUSH_FRONT ABCDEFGHI 19
PUSH_FRONT ABCDEFGHI 20
PUSH_FRONT ABCDEFGHI 21
PUSH_FRONT ABCDEFGHI 22
PUSH_FRONT ABCDEFGHI 23
PUSH_FRONT ABCDEFGHI 24
PUSH_FRONT ABCDEFGHI 25
PUSH_FRONT ABCDEFGHI 26
PUSH_FRONT ABCDEFGHI 27
PUSH_FRONT ABCDEFGHI 28
PUSH_FRONT ABCDEFGHI 29
PUSH_FRONT ABCDEFGHI 30
PUSH_FRONT ABCDEFGHI 31
PUSH_FRONT ABCDEFGHI 32
PUSH_FRONT ABCDEFGHI 33
PUSH_FRONT ABCDEFGHI 34
PUSH_FRONT ABCDEFGHI 35
PUSH_FRONT ABCDEFGHI 36
PUSH_FRONT ABCDEFGHI 37
PUSH_FRONT ABCDEFGHI 38
PUSH_FRONT ABCDEFGHI 39
PUSH_FRONT ABCDEFGHI 40
PUSH_FRONT ABCDEFGHI 41
PUSH_FRONT ABCDEFGHI 42
PUSH_FRONT ABCDEFGHI 43
PUSH_FRONT ABCDEFGHI 44
PUSH_FRONT ABCDEFGHI 45
PUSH_FRONT ABCDEFGHI 46
PUSH_FRONT ABCDEFGHI 47
PUSH_FRONT ABCDEFGHI 48
PUSH_FRONT ABCDEFGHI 49
PUSH_FRONT ABCDEFGHI 50
PUSH_FRONT ABCDEFGHI 51
PUSH_FRONT ABCDEFGHI 52
PUSH_FRONT ABCDEFGHI 53
PUSH_FRONT ABCDEFGHI 54
